Reporting Region,City,State,Zip,Country,FullAddress,lat,lng
USA,El Paso,TX,79936,USA,El Paso TX 79936 USA,31.7599791,-106.287521
USA,Harlingen,TX,78550,USA,Harlingen TX 78550 USA,26.1906306,-97.6961026
USA,San Antonio,TX,78216,USA,San Antonio TX 78216 USA,29.5516834,-98.4952228
USA,Salt Lake City,UT,84108,USA,Salt Lake City UT 84108 USA,40.7834328,-111.7376178
USA,Norfolk,VA,23502,USA,Norfolk VA 23502 USA,36.8574869,-76.2073525
USA,Roanoke,VA,24012,USA,Roanoke VA 24012 USA,37.3172783,-79.8912813
USA,Burrlington,VT,5495,USA,Burrlington VT 5495 USA,44.4911559,-73.228266
USA,Auburn,WA,98001,USA,Auburn WA 98001 USA,47.3394747,-122.2667661
USA,Pasco,WA,99301,USA,Pasco WA 99301 USA,46.2395793,-119.1005657
USA,Green Bay,WI,54313,USA,Green Bay WI 54313 USA,44.5910639,-88.1096118
USA,Hunnington,WV,20571,USA,Hunnington WV 20571 USA,38.3927923,-82.4343144
APAC,Hindmarsh,SA,5007,AUSTRALIA,Hindmarsh SA 5007 Australia,-34.9047781,138.5707009
APAC,Eagle Farm,QLD,4009,AUSTRALIA,Eagle Farm QLD 4009 Australia,-27.4326287,153.0881249
APAC,Queanbeyan,NSW,2620,AUSTRALIA,Queanbeyan NSW 2620 Australia,-35.3549182,149.2312511
APAC,Northern Territory,Darwin,810,AUSTRALIA,Northern Territory Darwin 810 Australia,-12.3731091,130.8711469
APAC,Sandy Bay,Tasmania,7005,AUSTRALIA,Sandy Bay Tasmania 7005 Australia,-42.8946543,147.3262306
APAC,South Melbourne,Victoria,3205,AUSTRALIA,South Melbourne Victoria 3205 Australia,-37.8323792,144.9604333
APAC,Welshpool,WA,6103,AUSTRALIA,Welshpool WA 6103 Australia,-31.9608819,115.9201904
APAC,SYDNEY,NSW,2116,AUSTRALIA,Sydney NSW 2116 Australia,-33.8124093,151.0384023
APAC,Homebush West,NSW,2140,AUSTRALIA,Homebush West NSW 2140 Australia,-33.8650645,151.0695978
APAC,Beijing,.,100101,CHINA,Beijing  100101 China,39.9929052,116.39578
APAC,Beijing,Beijing,101300,CHINA,Beijing Beijing 101300 China,40.1248308,116.6833248
APAC,Beijing,Beijing,100176,CHINA,Beijing Beijing 100176 China,39.8022617,116.5034722
APAC,Shanghai,.,201203,CHINA,Shanghai  201203 China,31.2047272,121.6111913
APAC,Shanghai,Shanghai,200131,CHINA,Shanghai Shanghai 200131 China,31.3248194,121.6054869
APAC,Shanghai,Shanghai,201203,CHINA,Shanghai Shanghai 201203 China,31.2047272,121.6111913
APAC,Shenzhen,Guangdong,518000,CHINA,Shenzhen Guangdong 518000 China,22.5469976,114.09637
APAC,Tamuning,Guam,96931,GUAM,Tamuning Guam 96931 Guam,13.483874,144.79717
APAC,Hong Kong,Hong Kong,100000,HONG KONG,Hong Kong Hong Kong 100000 Hong kong,22.281382,114.236109
APAC,BANGALORE,KARNATAKA,560024,INDIA,Bangalore Karnataka 560024 India,13.0493782,77.5991921
APAC,MUMBAI,MAHARASTRA,400 701,INDIA,Mumbai Maharastra 400 701 India,19.1155498,72.8352866
APAC,MUMBAI,MAHARASTRA,400079,INDIA,Mumbai Maharastra 400079 India,19.0852664,72.9401509
APAC,New Delhi,New Delhi,110020,INDIA,New Delhi New Delhi 110020 India,28.5433441,77.2807423
APAC,Chennai,Tamil Nadu,600026,INDIA,Chennai Tamil Nadu 600026 India,13.0541033,80.2070328
APAC,Jakarta,Jakarta,11440,INDONESIA,Jakarta Jakarta 11440 Indonesia,-6.1694569,106.8030892
APAC,Asahikawa,Hokkaido,071-1247,JAPAN,Asahikawa Hokkaido 071-1247 Japan,43.8404623,142.3824288
APAC,Takikawa-shi,Hokkaido,073-0004,JAPAN,Takikawa-shi Hokkaido 073-0004 Japan,43.5849661,141.9289992
APAC,Wakkanai,Hokkaido,097-0011,JAPAN,Wakkanai Hokkaido 097-0011 Japan,45.3958177,141.7231262
APAC,Aomori-shi,Aomori,030-0946,Japan,Aomori-shi Aomori 030-0946 Japan,40.8026247,140.7824713
APAC,Hirosaki-shi,Aomori,036-8083,Japan,Hirosaki-shi Aomori 036-8083 Japan,40.5941825,140.5185236
APAC,Kamikita-gun,Aomori,039-2666,JAPAN,Kamikita-gun Aomori 039-2666 Japan,40.78286,141.197574
APAC,Goshogawara-shi,Aomori,037-0202,Japan,Goshogawara-shi Aomori 037-0202 Japan,40.9061851,140.4617632
APAC,Mutsu,Aomori,035-0011,Japan,Mutsu Aomori 035-0011 Japan,41.2147099,141.2689257
APAC,Akita-shi,Akita,011-0901,Japan,Akita-shi Akita 011-0901 Japan,39.7343242,140.0840263
APAC,Senboku-gun,Akita,019-1404,Japan,Senboku-gun Akita 019-1404 Japan,39.4222773,140.5399548
APAC,Yokote-shi,Akita,013-0063,Japan,Yokote-shi Akita 013-0063 Japan,39.2985079,140.5533569
APAC,Abuta-gun,Hokkaido,044-0051,Japan,Abuta-gun Hokkaido 044-0051 Japan,42.9019957,140.7493247
APAC,Muroran,Hokkaido,050-0075,Japan,Muroran Hokkaido 050-0075 Japan,42.3548008,141.009969
APAC,Tomakomai,Hokkaido,053-0053,Japan,Tomakomai Hokkaido 053-0053 Japan,42.6576119,141.6454592
APAC,Fukushima-shi,Fukushima,960-8164,Japan,Fukushima-shi Fukushima 960-8164 Japan,37.7494544,140.4448768
APAC,Tamura-gun,Fukushima,963-7732,Japan,Tamura-gun Fukushima 963-7732 Japan,37.4206406,140.4437378
APAC,Minamiaizu-gun,Fukushima,967-0004,Japan,Minamiaizu-gun Fukushima 967-0004 Japan,37.2029766,139.7850232
APAC,Onuma-Gun,Fukushima,969-6207,Japan,Onuma-Gun Fukushima 969-6207 Japan,37.4729868,139.8633777
APAC,Sukagawa-shi,Fukushima-ken,962-0403,Japan,Sukagawa-shi Fukushima-ken 962-0403 Japan,37.3302479,140.3681868
APAC,Minami Soma,Fukushima,975-0076,Japan,Minami Soma Fukushima 975-0076 Japan,37.6506012,140.9237176
APAC,Iwaki,Fukushima,973-8409,Japan,Iwaki Fukushima 973-8409 Japan,37.0520924,140.8716503
APAC,Nishi Shirakawa-gun,Fukushima,969-0206,Japan,Nishi Shirakawa-gun Fukushima 969-0206 Japan,37.1913015,140.3011071
APAC,Yamagata-shi,Yamagata-shi,990-0024,Japan,Yamagata-shi Yamagata-shi 990-0024 Japan,38.2427398,140.3620486
APAC,Sakata-shi,Yamagata,998-0851,Japan,Sakata-shi Yamagata 998-0851 Japan,38.9075504,139.8587454
APAC,Shinjo-shi,Yamagata,996-0041,Japan,Shinjo-shi Yamagata 996-0041 Japan,38.7354494,140.3151364
APAC,Yonezawa-shi,Yamagata,992-0021,Japan,Yonezawa-shi Yamagata 992-0021 Japan,37.9207358,140.1270004
APAC,Hachinohe-shi,Aomori,039-1164,Japan,Hachinohe-shi Aomori 039-1164 Japan,40.5337808,141.4783018
APAC,Hokuto,Hokkaido,041-1215,Japan,Hokuto Hokkaido 041-1215 Japan,41.8378277,140.6852896
APAC,Hanamaki-shi,Iwate,025-0024,Japan,Hanamaki-shi Iwate 025-0024 Japan,39.361517,141.1122008
APAC,Osyu-shi,Iwate,023-0841,Japan,Osyu-shi Iwate 023-0841 Japan,39.11669,141.144411
APAC,Kuji-shi,Iwate,028-0071,Japan,Kuji-shi Iwate 028-0071 Japan,40.1649304,141.7446135
APAC,Miyako-shi,Iwate-ken,027-0021,Japan,Miyako-shi Iwate-ken 027-0021 Japan,39.6367836,141.9609147
APAC,Shiba-gun,Iwate,020-0891,Japan,Shiba-gun Iwate 020-0891 Japan,39.6379962,141.1145734
APAC,Tateyama-shi,Chiba,294-0045,Japan,Tateyama-shi Chiba 294-0045 Japan,34.9966964,139.867527
APAC,Yokosuka-shi,Kanagawa,238-0023,Japan,Yokosuka-shi Kanagawa 238-0023 Japan,35.247729,139.675187
APAC,Odawara-Shi,Kanagawa-Ken,256-0812,Japan,Odawara-Shi Kanagawa-Ken 256-0812 Japan,35.2841768,139.2081494
APAC,Futtsu-shi,Chiba-ken,293-0044,Japan,Futtsu-shi Chiba-ken 293-0044 Japan,35.2889308,139.8695785
APAC,Yokohama,Kanagawa,221-0022,Japan,Yokohama Kanagawa 221-0022 Japan,35.4827021,139.6515863
APAC,Minato-ku,Tokyo,108-0075,Japan,Minato-ku Tokyo 108-0075 Japan,35.6293514,139.7479602
APAC,Isehara-shi,Kanagawa-ken,259-1121,Japan,Isehara-shi Kanagawa-ken 259-1121 Japan,35.4032141,139.3462804
APAC,Kodaira,Tokyo,187-0013,Japan,Kodaira Tokyo 187-0013 Japan,35.7173077,139.4936458
